Info,Version=1.0.0,Template=fx_category_template_EBAY_US
*Action(SiteID=US|Country=US|Currency=USD|Version=1193|CC=UTF-8),CustomLabel,*Category,StoreCategory,*Title,Subtitle,Relationship,RelationshipDetails,ScheduleTime,*ConditionID,*C:Brand,*C:Screen Size,*C:Processor,C:Model,C:Operating System,C:SSD Capacity,C:Hard Drive Capacity,C:Features,C:Type,C:GPU,C:Storage Type,C:Release Year,C:Color,C:Maximum Resolution,C:Processor Speed,C:MPN,C:Unit Quantity,C:Unit Type,C:Series,C:RAM Size,C:Most Suitable For,C:Graphics Processing Type,C:Connectivity,C:Country of Origin,C:Manufacturer Warranty,C:California Prop 65 Warning,C:Item Height,C:Item Length,C:Item Weight,C:Item Width,PicURL,GalleryType,VideoID,*Description,*Format,*Duration,*StartPrice,BuyItNowPrice,BestOfferEnabled,BestOfferAutoAcceptPrice,MinimumBestOfferPrice,*Quantity,ImmediatePayRequired,*Location,ShippingType,ShippingService-1:Option,ShippingService-1:Cost,ShippingService-2:Option,ShippingService-2:Cost,*DispatchTimeMax,PromotionalShippingDiscount,ShippingDiscountProfileID,*ReturnsAcceptedOption,ReturnsWithinOption,RefundOption,ShippingCostPaidByOption,AdditionalDetails
Add,H1N3R93,177,,"Dell Vostro 7500 15.6"" i7-10750H 16GB 512GB SSD GTX 1650 Ti Win 11 Pro Laptop",,,,,3000,Dell,15.6 in,Intel Core i7 10th Gen.,Dell Vostro 7500,Windows 11 Pro,512 GB,512 GB,Backlit Keyboard|Bluetooth|Built-in Webcam|Wi-Fi,Notebook/Laptop,NVIDIA GeForce GTX 1650 Ti,SSD (Solid State Drive),,Gray,1920 x 1080,2.60 GHz,,,,Vostro,16 GB,Casual Computing,Dedicated Graphics,USB-C|USB 3.0|HDMI|SD Card Slot,,,,,,,,https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/01.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/02.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/03.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/04.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/05.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/06.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/07.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/08.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/09.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/10.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/11.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/12.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/13.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/14.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/15.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/16.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/17.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/H1N3R93/18.jpg,,,"<div style=""max-width:800px;margin:0 auto;font-family:Arial,Helvetica,sans-serif;color:#333;"">
<div style=""background:#1a1a2e;color:white;padding:20px;border-radius:8px 8px 0 0;text-align:center;"">
<h1 style=""margin:0;font-size:22px;"">Dell Vostro 7500</h1>
<p style=""margin:5px 0 0;color:#a0a0c0;font-size:14px;"">Professionally Audited &amp; Restored</p>
</div>
<table style=""width:100%;border-collapse:collapse;margin:0;"">
<tr style=""background:#f8f8fc;""><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;width:40%;"">Processor</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz</td></tr>
<tr><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">RAM</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">16 GB DDR4</td></tr>
<tr style=""background:#f8f8fc;""><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">Storage</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">512 GB NVMe</td></tr>
<tr><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">Graphics</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">NVIDIA Corporation TU117M [GeForce GTX 1650 Ti Mobile] [10de:1f95] (rev a1)</td></tr>
<tr style=""background:#f8f8fc;""><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">Display</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">15.6"" 1920x1080</td></tr>
<tr><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">Operating System</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">Windows 11 Pro (Fresh Install)</td></tr>
<tr style=""background:#f8f8fc;""><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">Connectivity</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">Wi-Fi 6 (802.11ax) &bull; Bluetooth &bull; Webcam &bull; Fingerprint Reader &bull; Backlit Keyboard</td></tr>
</table>
<div style=""margin-top:20px;padding:15px;background:#f0fdf4;border-left:4px solid #22c55e;border-radius:0 4px 4px 0;"">
<h2 style=""margin:0 0 10px;font-size:16px;color:#16a34a;"">&check; Condition Report</h2>
<table style=""width:100%;font-size:14px;"">
<tr><td style=""padding:4px 0;""><strong>Screen:</strong></td><td>Excellent</td></tr>
<tr><td style=""padding:4px 0;""><strong>Chassis:</strong></td><td>Good — minor wear</td></tr>
<tr><td style=""padding:4px 0;""><strong>Battery Health:</strong></td><td>69%</td></tr>
<tr><td style=""padding:4px 0;""><strong>SMART Status:</strong></td><td>PASSED</td></tr>
<tr><td style=""padding:4px 0;""><strong>SSD Health:</strong></td><td>13% worn, 1390 hours on</td></tr>
<tr><td style=""padding:4px 0;""><strong>Data:</strong></td><td>Previous data securely erased (NVMe format, verified blank)</td></tr>
</table>
</div>
<div style=""margin-top:15px;padding:15px;background:#f8f8fc;border-radius:4px;"">
<h2 style=""margin:0 0 8px;font-size:16px;"">&boxbox; What's Included</h2>
<ul style=""margin:0;padding-left:20px;font-size:14px;"">
<li>Dell Vostro 7500 Laptop</li>
<li>Charger: Yes — OEM charger included</li>
<li>Fresh Windows 11 Pro installation (no bloatware)</li>
</ul>
</div>
<div style=""margin-top:15px;padding:12px;background:#1a1a2e;color:#a0a0c0;border-radius:0 0 8px 8px;text-align:center;font-size:12px;"">
Professionally audited, securely wiped, and restored. Ships within 3 business days in a laptop shipping box with corner protection.
</div>
</div>",FixedPrice,GTC,329.00,,1,302.68,279.65,1,true,"Boca Raton, FL",Flat,USPSParcel,0.00,UPSGround,0.00,3,,,ReturnsNotAccepted,,,,
Add,727MYZ2,177,,"Dell Vostro 7500 15.6"" i7-10750H 16GB 1TB SSD GTX 1650 Ti Win 11 Pro Laptop",,,,,3000,Dell,15.6 in,Intel Core i7 10th Gen.,Dell Vostro 7500,Windows 11 Pro,1 TB,1 TB,Backlit Keyboard|Bluetooth|Built-in Webcam|Wi-Fi,Notebook/Laptop,NVIDIA GeForce GTX 1650 Ti,SSD (Solid State Drive),,Gray,1920 x 1080,2.60 GHz,,,,Vostro,16 GB,Casual Computing,Dedicated Graphics,USB-C|USB 3.0|HDMI|SD Card Slot,,,,,,,,https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/01.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/02.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/03.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/04.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/05.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/06.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/07.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/08.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/09.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/10.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/11.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/12.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/13.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/14.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/15.jpg|https://raw.githubusercontent.com/fsoriano-sauce/laptop-diagnostic-n-reset/v3-line-toolkit/listing-photos/727MYZ2/16.jpg,,,"<div style=""max-width:800px;margin:0 auto;font-family:Arial,Helvetica,sans-serif;color:#333;"">
<div style=""background:#1a1a2e;color:white;padding:20px;border-radius:8px 8px 0 0;text-align:center;"">
<h1 style=""margin:0;font-size:22px;"">Dell Vostro 7500</h1>
<p style=""margin:5px 0 0;color:#a0a0c0;font-size:14px;"">Professionally Audited &amp; Restored</p>
</div>
<table style=""width:100%;border-collapse:collapse;margin:0;"">
<tr style=""background:#f8f8fc;""><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;width:40%;"">Processor</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">Intel(R) Core(TM) i7-10750H CPU @ 2.60GHz</td></tr>
<tr><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">RAM</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">16 GB DDR4</td></tr>
<tr style=""background:#f8f8fc;""><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">Storage</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">1024 GB NVMe</td></tr>
<tr><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">Graphics</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">NVIDIA Corporation TU117M [GeForce GTX 1650 Ti Mobile] [10de:1f95] (rev a1)</td></tr>
<tr style=""background:#f8f8fc;""><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">Display</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">15.6"" 1920x1080</td></tr>
<tr><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">Operating System</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">Windows 11 Pro (Fresh Install)</td></tr>
<tr style=""background:#f8f8fc;""><td style=""padding:10px 15px;border-bottom:1px solid #eee;font-weight:bold;"">Connectivity</td><td style=""padding:10px 15px;border-bottom:1px solid #eee;"">Wi-Fi 6 (802.11ax) &bull; Bluetooth &bull; Webcam &bull; Fingerprint Reader &bull; Backlit Keyboard</td></tr>
</table>
<div style=""margin-top:20px;padding:15px;background:#f0fdf4;border-left:4px solid #22c55e;border-radius:0 4px 4px 0;"">
<h2 style=""margin:0 0 10px;font-size:16px;color:#16a34a;"">&check; Condition Report</h2>
<table style=""width:100%;font-size:14px;"">
<tr><td style=""padding:4px 0;""><strong>Screen:</strong></td><td>Excellent</td></tr>
<tr><td style=""padding:4px 0;""><strong>Chassis:</strong></td><td>Good — minor wear</td></tr>
<tr><td style=""padding:4px 0;""><strong>Battery Health:</strong></td><td>80%</td></tr>
<tr><td style=""padding:4px 0;""><strong>SMART Status:</strong></td><td>PASSED</td></tr>
<tr><td style=""padding:4px 0;""><strong>SSD Health:</strong></td><td>7% worn, 934 hours on</td></tr>
<tr><td style=""padding:4px 0;""><strong>Data:</strong></td><td>Previous data securely erased (NVMe format, verified blank)</td></tr>
</table>
</div>
<div style=""margin-top:15px;padding:15px;background:#f8f8fc;border-radius:4px;"">
<h2 style=""margin:0 0 8px;font-size:16px;"">&boxbox; What's Included</h2>
<ul style=""margin:0;padding-left:20px;font-size:14px;"">
<li>Dell Vostro 7500 Laptop</li>
<li>Charger: Yes — OEM charger included</li>
<li>Fresh Windows 11 Pro installation (no bloatware)</li>
</ul>
</div>
<div style=""margin-top:15px;padding:12px;background:#1a1a2e;color:#a0a0c0;border-radius:0 0 8px 8px;text-align:center;font-size:12px;"">
Professionally audited, securely wiped, and restored. Ships within 3 business days in a laptop shipping box with corner protection.
</div>
</div>",FixedPrice,GTC,349.00,,1,321.08,296.65,1,true,"Boca Raton, FL",Flat,USPSParcel,0.00,UPSGround,0.00,3,,,ReturnsNotAccepted,,,,
